269;1;MALIBU;carro;
271;1;MERIVA;carro;
272;1;MONTANA;carro;
274;1;OMEGA;carro;
275;1;OPALA;carro;
276;1;PRISMA;carro;
277;1;S10;carro;
280;1;SILVERADO;carro;
281;1;SONIC;carro;
282;1;SONOMA;carro;
283;1;SPACEVAN;carro;
284;1;SS10;carro;
285;1;SUBURBAN;carro;
287;1;SYCLONE;carro;
288;1;TIGRA;carro;
289;1;TRACKER;carro;
290;1;TRAFIC;carro;
291;1;VECTRA;carro;
292;1;VERANEIO;carro;
293;1;ZAFIRA;carro;
294;75;HOVER;carro;
295;17;BR-800;carro;
296;17;CARAJAS;carro;
297;17;TOCANTINS;carro;
298;17;XAVANTE;carro;
299;17;VIP;carro;
300;76;TOWNER;carro;
301;7;ACCORD;carro;
302;7;CITY;carro;
303;7;CIVIC;carro;
304;7;CR-V;carro;
305;7;FIT;carro;
306;7;ODYSSEY;carro;
307;7;PASSPORT;carro;
308;7;PRELUDE;carro;
309;14;ACCENT;carro;
310;14;ATOS;carro;
311;14;AZERA;carro;
312;14;COUPE;carro;
314;14;ELANTRA;carro;
315;14;EXCEL;carro;
316;14;GALLOPER;carro;
317;14;GENESIS;carro;
318;14;H1;carro;
319;14;H100;carro;
320;14;HR;caminhao;
321;14;I30;carro;
323;14;IX35;carro;
324;14;MATRIX;carro;
325;14;PORTER;carro;
326;14;SANTA FE;carro;
327;14;SCOUPE;carro;
328;14;SONATA;carro;
329;14;TERRACAN;carro;
330;14;TRAJET;carro;
331;14;TUCSON;carro;
332;14;VELOSTER;carro;
333;14;VERACRUZ;carro;
334;84;AMIGO;carro;
335;84;HOMBRE;carro;
336;84;RODEO;carro;
337;15;J3;carro;
338;15;J5;carro;
339;15;J6;carro;
340;86;DAIMLER;carro;
341;86;S-TYPE;carro;
342;86;X-TYPE;carro;
345;86;MODELOS XJ;carro;
352;86;MODELOS XK;carro;
354;87;CHEROKEE;carro;
355;87;COMMANDER;carro;
356;87;COMPASS;carro;
357;87;GRAND CHEROKEE;carro;
358;87;WRANGLER;carro;
359;88;TOPIC VAN;carro;
360;89;JIPE MONTEZ;carro;
361;89;PICAPE MONTEZ;carro;
362;16;BESTA;carro;
363;16;BONGO;carro;
364;16;CADENZA;carro;
365;16;CARENS;carro;
366;16;CARNIVAL;carro;
367;16;CERATO;carro;
368;16;CERES;carro;
369;16;CLARUS;carro;
370;16;MAGENTIS;carro;
371;16;MOHAVE;carro;
372;16;OPIRUS;carro;
373;16;OPTIMA;carro;
374;16;PICANTO;carro;
375;16;SEPHIA;carro;
376;16;SHUMA;carro;
377;16;SORENTO;carro;
378;16;SOUL;carro;
379;16;SPORTAGE;carro;
380;94;LAIKA;carro;
381;94;NIVA;carro;
382;94;SAMARA;carro;
383;12;GALLARDO;carro;
384;12;MURCIELAGO;carro;
385;96;DEFENDER;carro;
386;96;DISCOVERY;carro;
389;96;FREELANDER;carro;
391;96;NEW RANGE;carro;
392;96;RANGE ROVER;carro;
393;97;ES;carro;
396;97;GS;carro;
397;97;IS-300;carro;
398;97;LS;carro;
400;97;RX;carro;
402;97;SC;carro;
403;98;320;carro;
404;98;620;carro;
405;100;H1;carro;
406;101;ELAN;carro;
407;101;ESPRIT;carro;
408;102;SCORPIO;carro;
409;104;222;carro;
410;104;228;carro;
411;104;3200;carro;
412;104;430;carro;
413;104;COUPE;carro;
414;104;GHIBLI;carro;
415;104;GRANCABRIO;carro;
416;104;GRANSPORT;carro;
417;104;GRANTURISMO;carro;
418;104;QUATTROPORTE;carro;
419;104;SHAMAL;carro;
420;104;SPIDER;carro;
422;106;PICK-UP;carro;
423;108;323;carro;
424;108;626;carro;
425;108;929;carro;
426;108;B-2500;carro;
427;108;B2200;carro;
428;108;MILLENIA;carro;
429;108;MPV;carro;
430;108;MX-3;carro;
431;108;MX-5;carro;
432;108;NAVAJO;carro;
433;108;PROTEGE;carro;
434;108;RX;carro;
467;4;CLASSE A;carro;
468;4;CLASSE B;carro;
469;4;CLASSE R;carro;
498;4;CLASSE GLK;carro;
531;4;SPRINTER;carro;
532;110;MYSTIQUE;carro;
533;110;SABLE;carro;
534;112;550;carro;
535;112;MG6;carro;
536;113;COOPER;carro;
537;113;ONE;carro;
538;111;3000;carro;
539;111;AIRTREK;carro;
540;111;ASX;carro;
541;111;COLT;carro;
542;111;DIAMANT;carro;
